fixed acidity,volatile acidity,citric acid,residual sugar,value,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Country,quality
7,0.32,0.24,6.2,292524,31,228,0.9957,3.23,0.62,9.4,india,6
7,0.32,0.24,6.2,292524,31,228,0.9957,3.23,0.62,9.4,Spain,6
5.8,0.31,0.33,1.2,127017,23,99,0.9916,3.18,0.6,10.5,Africa,6
7,0.23,0.42,18.05,184752,35,144,0.9999,3.22,0.42,8.8,india,5
7,0.23,0.42,18.05,184752,35,144,0.9999,3.22,0.42,8.8,india,5
6.9,0.24,0.33,4.8,168073,16,131,0.9936,3.26,0.64,10.7,india,6
6,0.29,0.2,12.6,239921,45,187,0.9972,3.33,0.42,9.5,Spain,5
6.1,0.17,0.28,4.5,192450,46,150,0.9933,3.43,0.49,10.9,Africa,6
5.9,0.14,0.25,4.5,179620,34,140,0.9934,3.49,0.51,10.8,india,6
6.2,0.17,0.28,4.7,170639,39,133,0.9931,3.41,0.46,10.8,Spain,7
7.4,0.28,0.25,11.9,189884,25,148,0.9976,3.1,0.62,9.2,Africa,5
5.6,0.35,0.14,5,254034,48,198,0.9937,3.3,0.71,10.3,india,5
5.8,0.335,0.14,5.8,252751,49,197,0.9937,3.3,0.71,10.3,Spain,5
5.6,0.235,0.29,1.2,162941,33,127,0.991,3.34,0.5,11,Africa,7
6.1,0.28,0.25,12.9,242487,34,189,0.9979,3.25,0.43,9,india,4
6.3,0.21,0.33,13.9,229657,68,179,0.9971,3.36,0.5,10.4,india,6
6.4,0.24,0.28,11.5,209129,34,163,0.9969,3.31,0.45,9.5,india,5
6.4,0.24,0.29,11.4,212978,32,166,0.9968,3.31,0.45,9.5,Spain,5
6.3,0.26,0.25,7.8,212978,44,166,0.9961,3.24,0.41,9,Africa,5
6.5,0.33,0.72,1.1,193733,7,151,0.993,3.09,0.57,9.5,india,4
7.4,0.105,0.34,12.2,187318,57,146,0.9973,3.16,0.37,9,Spain,6
6,0.32,0.12,5.9,243770,34,190,0.9944,3.16,0.72,10,Africa,5
7.1,0.26,0.34,14.4,242487,35,189,0.9986,3.07,0.53,9.1,india,7
7.1,0.26,0.34,14.4,242487,35,189,0.9986,3.07,0.53,9.1,Spain,7
7.1,0.26,0.34,14.4,242487,35,189,0.9986,3.07,0.53,9.1,Africa,7
7.1,0.26,0.34,14.4,242487,35,189,0.9986,3.07,0.53,9.1,india,7
5.9,0.24,0.26,12.3,171922,34,134,0.9972,3.34,0.45,9.5,india,6
6.5,0.21,0.37,2.5,177054,70,138,0.9917,3.33,0.75,11.4,india,7
7.7,0.27,0.35,5.3,150111,30,117,0.992,3.11,0.42,12.2,Spain,6
9,0.27,0.35,4.9,121885,27,95,0.9932,3.04,0.4,11.3,Africa,6
7.3,0.34,0.21,3.2,174488,14,136,0.9936,3.25,0.44,10.2,india,5
6.6,0.27,0.25,3.1,241204,41,188,0.9915,3.24,0.4,11.3,Spain,5
6.8,0.29,0.16,1.4,300863.5,122.5,234.5,0.9922,3.15,0.47,10,Africa,4
7.1,0.28,0.26,1.9,110338,12,86,0.9934,3.15,0.38,9.4,india,5
6.8,0.25,0.34,14,170639,47,133,0.9952,3.37,0.5,12.2,Spain,7
7,0.57,0.1,8.3,241204,23,188,0.9972,3.4,0.47,9.2,Africa,4
7.1,0.28,0.26,1.9,110338,12,86,0.9934,3.15,0.38,9.4,india,5
7.1,0.17,0.38,7.4,233506,49,182,0.9958,3.35,0.52,9.6,india,6
7.8,0.28,0.22,1.4,166790,24,130,0.9944,3.28,0.48,9.5,india,5
6.8,0.22,0.37,1.7,250185,38,195,0.9908,3.35,0.72,12.5,Spain,6
7.1,0.17,0.38,7.4,233506,49,182,0.9958,3.35,0.52,9.6,Africa,6
6.1,0.14,0.25,1.3,221959,37,173,0.9925,3.35,0.46,10,india,6
6.4,0.24,0.5,11.6,270713,60,211,0.9966,3.18,0.57,9.3,Spain,5
7.8,0.42,0.26,9.2,255317,34,199,0.9972,3.14,0.55,9.3,Africa,6
6.6,0.28,0.36,1.7,129583,22,101,0.9912,3.29,0.57,11.6,india,6
7.1,0.32,0.34,14.5,192450,46,150,0.995,3.38,0.5,12.5,Spain,8
6.7,0.31,0.3,2.1,166790,18,130,0.9928,3.36,0.63,10.6,Africa,6
6.4,0.32,0.5,10.7,264298,57,206,0.9968,3.08,0.6,9.4,india,5
6.1,0.28,0.25,6.9,257883,44,201,0.9955,3.19,0.4,9.1,india,6
5.9,0.29,0.25,12,287392,48,224,0.9981,3.23,0.41,9,india,6
5.8,0.32,0.38,4.75,120602,23,94,0.991,3.42,0.42,11.8,Spain,7
5.8,0.32,0.38,4.75,120602,23,94,0.991,3.42,0.42,11.8,Africa,7
5.7,0.32,0.38,4.75,120602,23,94,0.991,3.42,0.42,11.8,india,7
6.7,0.28,0.14,1.4,203997,64,159,0.992,3.17,0.39,10,Spain,5
6.8,0.34,0.69,1.3,219393,12,171,0.9931,3.06,0.47,9.7,Africa,5
5.9,0.25,0.25,11.3,211695,30,165,0.997,3.24,0.44,9.5,india,6
6.4,0.27,0.32,4.5,223242,61,174,0.9948,3.12,0.48,9.4,Spain,5
8.1,0.46,0.31,1.7,234789,50,183,0.9923,3.03,0.42,11.2,Africa,5
6.2,0.36,0.26,13.2,257883,54,201,0.9976,3.25,0.46,9,india,5
6.8,0.22,0.35,5.5,146262,21,114,0.9938,3.3,0.53,10.7,india,7
6.8,0.67,0.3,13,247619,22,193,0.9984,3.08,0.67,9,india,4
7.2,0.28,0.3,10.7,284826,61,222,0.9972,3.14,0.5,9.1,Spain,6
6.7,0.17,0.37,2,160375,34,125,0.9922,3.26,0.6,10.8,Africa,7
6.9,0.2,0.34,1.9,174488,25,136,0.9935,3.31,0.6,10.1,india,4
6.1,0.36,0.16,6.4,254034,36,198,0.9944,3.17,0.62,9.9,Spain,6
6,0.36,0.16,6.3,245053,36,191,0.9942,3.17,0.62,9.8,Africa,5
5.9,0.37,0.14,6.3,237355,34,185,0.9944,3.17,0.63,9.8,india,5
7.6,0.29,0.58,17.5,288675,51,225,0.9997,3.16,0.66,9.5,Spain,6
6.3,0.34,0.28,14.7,254034,49,198,0.9977,3.23,0.46,9.5,Africa,5
6.7,0.19,0.34,1,120602,22,94,0.9912,3.23,0.57,11.1,india,6
7.5,0.31,0.51,14.8,261732,62,204,0.9982,3.06,0.6,9.5,india,5
7.5,0.31,0.51,14.8,261732,62,204,0.9982,3.06,0.6,9.5,india,5
7.4,0.31,0.48,14.2,261732,62,204,0.9983,3.06,0.59,9.4,Spain,5
8.4,0.4,0.7,13.1,252751,29,197,0.998,3.06,0.64,9.7,Africa,5
5.9,0.34,0.22,2.4,173205,19,135,0.9894,3.41,0.78,13.9,india,7
6.6,0.38,0.18,1.2,107772,20,84,0.9927,3.22,0.45,10.1,Spain,4
6.4,0.33,0.28,1.1,141130,30,110,0.9917,3.12,0.42,10.5,Africa,6
5.6,0.25,0.26,3.6,147545,18,115,0.9904,3.42,0.5,12.6,india,6
8.6,0.27,0.46,6.1,52603,13,41,0.993,2.89,0.34,10.9,Spain,5
6.2,0.31,0.21,6.3,279694,50,218,0.9941,3.15,0.6,10,Africa,5
7.2,0.18,0.45,4.4,212978,57,166,0.9943,3.13,0.62,11.2,india,6
7.7,0.2,0.44,13.9,166790,44,130,0.99855,3.11,0.48,10,india,6
6.2,0.47,0.21,1,125734,13,98,0.99345,3.14,0.46,9.2,india,5
6.1,0.25,0.24,12.1,220676,51,172,0.998,3.35,0.45,9.5,Spain,5
8.2,0.27,0.43,1.6,164224,31,128,0.9916,3.1,0.5,12.3,Africa,6
8.2,0.27,0.43,1.6,164224,31,128,0.9916,3.1,0.5,12.3,india,6
6.4,0.31,0.39,7.5,273279,57,213,0.99475,3.32,0.43,10,Spain,5
6,0.39,0.26,2.7,239921,39,187,0.99325,3.41,0.5,10.8,Africa,6
6.2,0.21,0.27,1.7,192450,41,150,0.9933,3.49,0.71,10.5,india,7
7.7,0.42,0.31,9.2,283543,22,221,0.9969,3.06,0.61,9.2,Spain,6
7,0.27,0.41,18.75,201431,34,157,1.0002,2.96,0.5,9.1,Africa,5
6.2,0.21,0.27,1.7,192450,41,150,0.9933,3.49,0.71,10.5,india,7
7.4,0.29,0.5,1.8,162941,35,127,0.9937,3.45,0.5,10.2,india,7
6.6,0.29,0.44,9,228374,62,178,0.99685,3.02,0.45,8.9,india,5
6,0.3,0.44,1.5,233506,15,182,0.99455,3.5,0.52,10.4,Spain,5
6.9,0.31,0.34,1.6,164224,23,128,0.9917,3.37,0.47,11.7,Africa,6
6.6,0.33,0.31,1.3,114187,29,89,0.99035,3.26,0.44,12.4,india,8
7.8,0.3,0.4,1.8,156526,23,122,0.9914,3.14,0.39,10.9,Spain,7
6.4,0.39,0.21,1.2,174488,35,136,0.99225,3.15,0.46,10.2,Africa,5
6.4,0.24,0.31,2.8,146262,41,114,0.99155,3.37,0.66,11.7,india,7
7,0.21,0.34,8,129583,19,101,0.9954,2.99,0.59,9.4,Spain,5
6.4,0.16,0.31,5.3,201431,42,157,0.99455,3.35,0.47,10.5,Africa,5
6,0.33,0.27,0.8,241204,12,188,0.9924,3.12,0.62,9.4,india,5
6.5,0.23,0.33,13.8,178337,25,139,0.99695,3.35,0.56,10.4,india,6
6.2,0.25,0.48,10,307920,78,240,0.99655,3.25,0.47,9.5,india,6
8.8,0.28,0.45,6,62867,14,49,0.9934,3.01,0.33,11.1,Spain,7
6.6,0.25,0.3,14.4,234789,40,183,0.998,3.02,0.5,9.1,Africa,6
6.9,0.38,0.25,9.8,245053,28,191,0.9971,3.28,0.61,9.2,india,5
6.4,0.25,0.3,5.5,165507,15,129,0.9948,3.14,0.49,9.6,Spain,6
6.6,0.25,0.3,14.4,234789,40,183,0.998,3.02,0.5,9.1,Africa,6
6.9,0.38,0.25,9.8,245053,28,191,0.9971,3.28,0.61,9.2,india,5
7.1,0.21,0.31,3.8,182186,40,142,0.99215,3.17,0.39,10.8,Spain,7
6.4,0.25,0.3,5.5,165507,15,129,0.9948,3.14,0.49,9.6,Africa,6
6.9,0.39,0.4,4.6,24377,5,19,0.9915,3.31,0.37,12.6,india,3
5.8,0.2,0.3,1.5,73131,21,57,0.99115,3.44,0.55,11,india,6
7,0.2,0.37,2,174488,26,136,0.9932,3.28,0.61,10.2,india,6
5.9,0.26,0.25,12.5,195016,38,152,0.9977,3.33,0.43,9.4,Spain,5
7.4,0.38,0.27,7.5,205280,24,160,0.99535,3.17,0.43,10,Africa,5
7.4,0.2,1.66,2.1,144979,34,113,0.99165,3.26,0.55,12.2,india,6
7,0.21,0.34,8.5,324599,31,253,0.9953,3.22,0.56,10.5,Spain,6
7.2,0.29,0.4,7.6,227091,56,177,0.9928,3.04,0.32,11.5,Africa,6
6.9,0.18,0.38,8.1,225808,44,176,0.9958,3.3,0.54,9.8,india,6
7.3,0.3,0.42,7.35,224525,51,175,0.9928,3.04,0.32,11.4,Spain,6
7.2,0.29,0.4,7.6,227091,56,177,0.9928,3.04,0.32,11.5,Africa,6
6.9,0.2,0.5,10,214261,78,167,0.9964,3.15,0.55,10.2,india,6
6.7,0.2,0.42,14,205280,83,160,0.9987,3.16,0.5,9.4,india,6
7,0.21,0.34,8.5,324599,31,253,0.9953,3.22,0.56,10.5,india,6
5.9,0.35,0.47,2.2,177054,14,138,0.9932,3.09,0.5,9.1,Spain,5
7.1,0.28,0.44,1.8,137281,32,107,0.9907,3.25,0.48,12.2,Africa,7
5.8,0.25,0.28,11.1,224525,45,175,0.99755,3.42,0.43,9.5,india,5
6.8,0.22,0.37,15.2,228374,68,178,0.99935,3.4,0.85,9.3,Spain,6
7.1,0.14,0.4,1.2,174488,55,136,0.9932,3.3,0.96,9.8,Africa,7
7.1,0.13,0.4,1.2,171922,54,134,0.9932,3.3,0.97,9.8,india,7
6.9,0.18,0.38,8.1,225808,44,176,0.9958,3.3,0.54,9.8,Spain,6
7,0.2,0.38,8.1,221959,42,173,0.99585,3.3,0.54,9.8,Africa,6
6.8,0.24,0.49,19.3,316901,55,247,1.00055,3,0.56,8.7,india,5
5,0.44,0.04,18.6,164224,38,128,0.9985,3.37,0.57,10.2,india,6
6.3,0.3,0.28,5,215544,36,168,0.99505,3.22,0.69,9.5,india,6
7.2,0.27,0.42,1.6,173205,35,135,0.992,2.94,0.46,11,Spain,6
6.7,0.5,0.63,13.4,305354,81,238,0.9988,3.08,0.44,9.2,Africa,5
6.8,0.2,0.36,1.6,59018,7,46,0.99175,3.21,0.6,10.9,india,6
6.7,0.11,0.34,8.8,144979,41,113,0.9962,3.42,0.4,9.3,Spain,7
6.7,0.11,0.34,8.8,144979,41,113,0.9962,3.42,0.4,9.3,Africa,7
6.8,0.12,0.31,5.2,153960,29,120,0.9942,3.41,0.46,9.8,india,7
6.6,0.16,0.57,1.1,179620,58,140,0.9927,3.12,0.39,9.3,Spain,7
6.6,0.21,0.6,1.1,184752,61,144,0.9927,3.12,0.39,9.3,Africa,7
6.1,0.27,0.3,16.7,220676,49,172,0.99985,3.4,0.45,9.4,india,5
9.1,0.27,0.45,10.6,159092,28,124,0.997,3.2,0.46,10.4,india,1
6.4,0.225,0.48,2.2,133432,29,104,0.9918,3.24,0.58,12.1,india,6
8.3,0.14,0.45,1.5,125734,18,98,0.99215,3.02,0.56,11,Spain,6
7.2,0.23,0.19,13.7,252751,47,197,0.99865,3.12,0.53,9,Africa,5
6.9,0.22,0.37,15,228374,59,178,0.9992,3.37,0.82,9.5,india,7
8.1,0.17,0.44,14.1,186035,43,145,1.0006,3.28,0.75,8.8,Spain,8
6,0.395,0,1.4,70565,7,55,0.99135,3.37,0.38,11.2,Africa,4
7.8,0.29,0.22,9.5,273279,44,213,0.99715,3.08,0.61,9.3,india,6
6.9,0.22,0.37,15,228374,59,178,0.9992,3.37,0.82,9.5,Spain,7
8.1,0.17,0.44,14.1,186035,43,145,1.0006,3.28,0.75,8.8,Africa,8
7.2,0.23,0.19,13.7,252751,47,197,0.99865,3.12,0.53,9,india,5
7.6,0.3,0.27,10.6,152677,31,119,0.99815,3.27,0.3,9.3,india,6
7.7,0.34,0.28,11,150111,31,117,0.99815,3.27,0.29,9.2,india,6
7.7,0.34,0.28,11,150111,31,117,0.99815,3.27,0.29,9.2,Spain,6
5.8,0.34,0.16,7,148828,26,116,0.9949,3.46,0.45,10,Africa,7
7.6,0.3,0.27,10.6,152677,31,119,0.99815,3.27,0.3,9.3,india,6
7.7,0.34,0.28,11,150111,31,117,0.99815,3.27,0.29,9.2,Spain,6
5.9,0.24,0.3,2,118036,28,92,0.99225,3.39,0.69,10.9,Africa,7
6.4,0.46,0.08,4.9,184752,34,144,0.99445,3.1,0.56,10,india,5
5.9,0.24,0.3,2,118036,28,92,0.99225,3.39,0.69,10.9,Spain,7
7.4,0.32,0.27,1.4,221959,38,173,0.99335,3.03,0.52,9.3,Africa,5
7.2,0.31,0.26,7.3,201431,37,157,0.99625,3.09,0.43,9,india,5
7.8,0.42,0.23,8.8,275845,42,215,0.9971,3.02,0.58,9.2,india,6
6.9,0.24,0.33,12.5,196299,47,153,0.9983,3.28,0.77,9.6,india,6
5.4,0.18,0.24,4.8,,30,113,0.99445,3.42,0.4,9.4,Spain,6
6,0.18,0.31,1.4,96225,14,75,0.99085,3.34,0.58,11.1,Africa,8
7.8,0.27,0.58,11.2,206563,44,161,0.9977,3.06,0.41,8.9,india,6
6,,0.49,6.8,284826,61,222,0.9953,3.19,0.47,9.3,Spain,5
6.8,0.39,0.35,11.6,282260,57,220,0.99775,3.07,0.53,9.3,Africa,5
6.6,0.21,0.31,11.4,211695,46,165,0.99795,3.41,0.44,9.8,india,7
7.3,0.32,0.34,6.6,143696,24,112,0.99505,3.22,0.46,9.8,Spain,6
7.8,0.27,,11.2,206563,44,161,0.9977,3.06,0.41,8.9,Africa,6
6.4,0.31,0.26,13.2,,57,205,0.9975,3.17,0.41,9.6,india,5
6.2,0.29,0.26,13.1,261732,55,204,0.99745,3.16,0.41,9.6,india,6
6,0.39,0.17,12,315618,65,246,0.9976,3.15,0.38,9,india,6
6.2,0.3,0.26,13.4,264298,57,206,0.99775,3.17,0.43,9.5,Spain,6
6,0.28,0.49,6.8,284826,61,222,0.9953,3.19,0.47,9.3,Africa,5
6,0.41,0.05,1.5,153960,17,120,0.9932,3.21,0.56,9.2,india,6
6.4,0.35,0.28,1.1,205280,9,160,0.99405,3.42,0.5,9.1,Spain,7
6.5,0.26,0.32,16.5,212978,44,166,1,3.38,0.46,9.5,Africa,6
7.9,0.35,0.24,15.6,293807,44,229,0.99785,3.03,0.59,10.5,india,6
6.2,0.3,0.17,2.8,160375,24,125,0.9939,3.01,0.46,9,Spain,5
8.4,0.18,0.42,5.1,98791,7,77,0.9939,3.16,0.52,11.7,Africa,5
6.6,0.56,0.22,8.9,170639,27,133,0.99675,3.2,0.51,9.1,india,5
6.2,0.3,0.17,2.8,160375,24,125,0.9939,3.01,0.46,9,india,5
6.6,0.56,0.22,8.9,170639,27,133,0.99675,3.2,0.51,9.1,india,5
6.6,0.36,0.29,1.6,109055,24,85,0.98965,3.41,0.61,12.4,Spain,1
7.3,0.655,0.2,10.2,271996,28,212,0.9971,2.96,0.58,9.2,Africa,6
6.8,0.18,0.21,5.4,133432,34,104,0.99445,3.3,,9.4,india,5
6.7,0.19,0.23,6.2,150111,36,117,0.9945,3.34,0.43,9.6,Spain,6
8.4,0.18,0.42,5.1,98791,7,77,0.9939,3.16,0.52,,Africa,5
7,0.21,0.37,7.2,214261,36,167,0.9958,3.26,0.56,9.8,india,6
6.8,0.25,0.38,8.1,198865,24,155,0.9956,3.33,0.59,10.2,Spain,6
7.4,0.24,0.36,2,178337,27,139,0.99055,3.28,0.48,12.5,Africa,1
7.1,0.16,0.36,10.7,115470,20,90,0.9959,3.16,0.44,10.9,india,7
7.1,0.16,0.36,1.2,115470,21,90,,3.16,0.42,11,india,7
7.3,0.205,0.31,1.7,141130,34,110,0.9963,3.72,0.69,10.5,india,6
7.4,0.17,0.4,5.5,206563,34,161,0.9935,3.05,,11.5,Spain,4
7.3,0.3,0.34,2.7,138564,34,108,0.99105,3.36,0.53,12.8,Africa,8
6.9,0.25,0.34,1.3,105206,27,82,0.99045,3.18,0.44,12.2,india,
7.3,0.205,0.31,1.7,141130,34,110,0.9963,3.72,0.69,10.5,Spain,6
7.5,0.42,0.34,4.3,138564,34,108,0.99155,3.14,0.45,12.8,Africa,8
7.3,0.25,0.36,2.1,227091,30,177,0.99085,3.25,0.4,11.9,india,8
7.3,0.25,0.36,2.1,227091,30,177,0.99085,3.25,0.4,11.9,Spain,8
7.3,0.25,0.36,2.1,227091,30,177,0.99085,3.25,0.4,11.9,Africa,8
7.5,0.34,0.35,6,161658,12,126,0.9924,3.16,0.39,12,india,7
7.6,,0.35,6.3,161658,12,126,0.9924,3.16,0.39,12,india,7
8.7,0.23,0.32,13.4,216827,35,169,0.99975,3.12,0.47,8.8,india,7
8.7,0.23,0.32,13.4,216827,35,169,0.99975,3.12,0.47,8.8,Spain,7
6.9,0.19,0.35,1.7,129583,33,101,0.99315,3.21,0.54,10.8,Africa,7
7.3,0.21,0.29,1.6,151394,29,118,0.9917,3.3,0.5,11,india,8
7.3,0.21,0.29,1.6,151394,29,118,0.9917,3.3,0.5,11,Spain,8
6.6,0.22,0.37,15.4,196299,62,153,0.99845,3.02,0.4,9.3,Africa,5
9.2,0.34,0.27,1.2,93659,17,73,0.9921,3.08,0.39,10.8,india,5
8.7,0.23,0.32,13.4,216827,35,169,0.99975,3.12,0.47,8.8,Spain,7
6,0.2,,1.8,134715,30,105,0.9909,3.31,0.47,11.5,Africa,6
6.9,0.19,0.35,1.7,129583,33,101,0.99315,3.21,0.54,10.8,india,7
8.2,0.38,0.49,13.6,212978,58,166,0.99855,3.1,0.54,9.4,india,5
6.9,0.18,0.36,1.3,150111,40,117,0.9934,3.27,0.95,9.5,india,7
7.7,0.34,,11.1,193733,41,151,0.9978,3.06,0.49,8.6,Spain,5
6.9,0.18,0.36,1.3,150111,40,117,0.9934,3.27,0.95,9.5,Africa,7
7.4,0.2,0.35,2.1,148828,30,116,0.9949,3.49,0.77,10.3,india,7
8.2,0.38,0.49,13.6,212978,58,166,0.99855,3.1,0.54,9.4,Spain,5
8.2,0.4,0.48,13.7,216827,,169,0.9986,3.1,0.52,9.4,Africa,5
6.7,0.22,,10.2,191167,60,149,0.99725,3.17,0.54,10,india,7
6.6,0.3,0.3,4.8,212978,60,166,0.9946,3.18,0.47,9.4,Spain,5
8.1,0.27,0.35,1.7,132149,38,103,0.99255,3.22,0.63,10.4,Africa,8
7.3,0.25,,14.2,233506,57,182,0.9996,3.29,0.75,9.1,india,7
4.8,0.34,0,6.5,209129,33,163,0.9939,3.36,0.61,9.9,india,6
6.2,0.28,0.33,1.7,142413,24,111,0.99,3.24,0.5,12.1,india,6
4.8,0.33,0,6.5,209129,34,163,0.9937,3.35,0.61,9.9,Spain,5
6.1,0.27,,2.2,150111,26,117,0.9886,3.12,0.3,12.5,Africa,6
6.9,0.18,0.36,1.3,150111,,117,0.9934,3.27,0.95,9.5,india,7
7.8,0.18,0.46,12.6,183469,41,143,1,3.24,0.76,8.5,Spain,8
7.3,0.28,0.42,14.4,221959,49,173,0.9994,3.28,0.82,9,Africa,7
7.3,0.24,0.29,1.2,124451,37,97,0.9926,3.19,0.7,10.1,india,6
6,0.45,0.65,9.7,203997,11,159,0.9956,3.04,0.48,9.4,Spain,5
7.7,0.34,0.58,11.1,193733,41,151,0.9978,3.06,0.49,8.6,Africa,5
6.3,0.26,0.21,4,160375,24,125,0.9915,3.06,0.34,10.7,india,6
10.3,0.17,0.47,1.4,42339,5,33,0.9939,2.89,0.28,9.6,india,3
7.7,0.15,0.29,1.3,82112,10,64,0.9932,3.35,0.39,10.1,india,5
7.1,0.21,0.32,2.2,180903,28,141,0.993,3.2,0.57,10,Spain,7
6.9,0.36,0.34,4.2,152677,57,119,0.9898,3.28,0.36,12.7,Africa,1
6,0.28,0.34,1.6,133432,33,104,0.9921,,0.38,10.2,india,6
6.2,0.16,0.54,1.4,141130,37,110,0.9932,3.23,0.37,8.9,Spain,6
6.9,0.12,0.36,2.2,142413,18,111,0.9919,3.41,0.82,11.9,Africa,8
7.1,0.21,0.32,2.2,180903,28,141,0.993,3.2,0.57,10,india,7
8.8,0.36,0.44,1.9,155243,9,121,0.9953,3.19,0.48,9.9,Spain,6
7.4,0.26,0.43,6,160375,22,125,0.9928,3.13,0.55,11.5,Africa,6
7.4,0.26,0.43,6,160375,22,125,0.9928,3.13,0.55,11.5,india,6
6.8,0.23,0.29,12.2,302788,38,236,0.9976,3.35,0.52,9.8,india,6
6.1,0.34,0.27,2.6,134715,20,105,0.9906,3.4,0.67,12.2,india,7
7.3,0.26,0.31,1.6,221959,39,173,0.9918,3.19,0.51,11.4,Spain,6
6.5,0.3,0.32,2,115470,34,90,0.99185,3.37,0.68,11,Africa,7
7.3,0.26,0.31,1.6,221959,39,173,0.9918,3.19,0.51,11.4,india,6
6.5,0.3,0.32,2,115470,34,90,0.99185,3.37,0.68,11,Spain,7
5,0.31,0,6.4,212978,43,166,0.994,3.3,0.63,9.9,Africa,6
5.8,0.26,0.18,1.2,146262,40,114,0.9908,,0.4,11,india,7
5.9,0.26,0.3,1,146262,38,114,0.9928,3.58,0.48,9.4,Spain,5
7,0.31,0.29,1.4,164224,33,128,0.9896,,0.36,12.2,Africa,7
5.8,0.26,0.18,1.2,146262,40,114,,3.42,0.4,11,india,7
5.6,0.19,0.39,1.1,85961,17,67,0.9918,3.23,0.53,10.3,india,6
6.8,0.18,0.28,8.7,310486,52,242,,3.22,0.53,10.5,india,6
7,0.29,0.26,1.6,111621,12,87,,3.08,0.46,10.5,Spain,6
6.6,0.26,0.29,1.4,85961,13,67,,3.05,0.49,10.9,Africa,6
6.8,0.18,0.28,8.5,310486,52,242,,3.22,0.53,10.5,india,6
6.6,0.2,0.38,7.9,186035,30,145,,3.32,0.56,11,Spain,7
8,0.29,0.29,13.2,144979,26,113,,3.25,0.37,9.7,Africa,6
6.1,0.28,0.35,12.8,293807,63,229,,3.08,0.4,8.9,india,5
5.9,0.31,0.3,7.7,264298,60,206,0.995,3.2,0.39,9.6,Spain,6
6.9,0.21,0.28,2.4,203997,49,159,0.9944,3.02,0.47,8.8,Africa,8
8.4,0.19,0.42,1.6,129583,9,101,0.994,3.06,0.65,11.1,india,4
8.3,0.27,0.45,1.3,92376,8,72,0.9944,3.08,0.61,10.3,india,4
7.1,0.25,0.39,2.1,159092,30,124,0.9908,3.28,0.43,12.2,india,8
8,0.23,0.37,9.6,203997,23,159,0.99795,3.32,0.47,9.8,Spain,4
7.5,0.24,0.31,13,278411,46,217,0.9985,3.08,0.53,8.8,Africa,5
6.3,0.33,0.2,5.8,184752,24,144,0.99425,3.15,0.63,9.9,india,5
6.2,0.33,0.19,5.6,183469,22,143,0.99425,3.15,0.63,9.9,Spain,5
6.3,0.34,0.19,5.8,186035,22,145,0.9943,3.15,0.63,9.9,Africa,5
5.8,0.29,0.05,0.8,38490,11,30,0.9924,3.36,0.35,9.2,india,5
8,0.32,0.26,1.2,112904,11.5,88,0.9946,3.24,0.37,9.5,Spain,4
5.6,0.29,0.05,0.8,38490,11,30,0.9924,3.36,0.35,9.2,Africa,5
7.4,0.13,0.39,4.7,175771,36,137,0.995,3.36,0.56,10.3,india,7
7.7,0.3,0.32,1.6,159092,23,124,0.9919,2.93,0.33,11,india,6
7,0.24,0.34,1.4,137281,27,107,0.99,3.06,0.39,11.9,india,6
8.6,0.18,0.4,1.1,137281,20,107,0.9923,2.94,0.32,10.2,Spain,7
7,0.11,0.32,4.6,184752,59,144,0.9956,3.55,0.44,9.4,Africa,7
7.7,0.32,0.62,10.6,196299,56,153,0.9978,3.13,0.44,8.9,india,6
7.7,0.32,0.62,10.6,196299,56,153,0.9978,3.13,0.44,8.9,Spain,6
6.5,0.26,0.27,12.9,275845,69,215,0.9967,3.17,0.43,10,Africa,6
7.9,0.28,0.41,2,195016,50,152,0.9934,3.45,0.49,10.7,india,8
6.3,0.27,0.23,2.9,128300,13,100,0.9936,3.28,0.43,9.8,Spain,5
5.4,0.595,0.1,2.8,102640,26,80,0.9932,3.36,0.38,9.3,Africa,5
6.7,0.25,0.33,2.9,221959,52,173,0.9934,3.02,0.48,9.5,india,7
6.5,0.25,,12,229657,47,179,0.998,3.58,0.47,10,india,5
6.1,0.36,,15,147545,42,115,0.9978,3.15,0.51,9,india,5
7.7,0.17,,5.9,107772,21,84,0.9929,3.14,0.4,11.9,Spain,7
6.4,0.26,,12.6,295090,64,230,0.9974,3.08,0.38,8.9,Africa,5
6.5,0.26,0.28,12.5,288675,80,225,0.99685,3.18,0.41,10,india,6
5.9,0.29,0.33,7.4,263015,58,205,0.99495,3.26,0.41,9.6,Spain,5
6.2,0.28,0.43,13,298939,64,233,0.99745,3.08,0.38,8.9,Africa,5
6.1,0.27,0.44,6.7,295090,61,230,0.99505,3.12,0.4,8.9,india,5
6.4,0.43,0.32,1.4,85961,10,67,0.992,3.08,0.41,11.4,Spain,5
6.1,0.36,0.58,15,147545,42,115,0.9978,3.15,0.51,9,Africa,5
6.2,0.35,0.29,7.3,313052,56,244,0.9956,3.36,0.55,10,india,6
7.7,0.24,0.29,15.3,248902,39,194,0.9982,3.06,0.47,9.6,india,7
6.2,0.34,0.28,7.5,252751,40,197,0.99485,3.14,0.6,9.7,india,5
6.3,0.27,0.46,,271996,61,212,0.9971,3.25,0.53,9.5,Spain,6
5.4,0.415,0.19,,112904,27,88,0.99265,3.54,0.41,10,Africa,7
6.9,0.48,0.36,,173205,31,135,0.9904,3.14,0.38,12.2,india,7
